request_number,request_order_index,source_task_number,request_number_mapping,trace_id,search_decisions,visit_windows,authoritative_targets,top1_target_hits,top1_target_recall,top1_hit_visit_windows,top1_visit_window_coverage,top1_requested_candidates,top3_target_hits,top3_target_recall,top3_hit_visit_windows,top3_visit_window_coverage,top3_requested_candidates,top5_target_hits,top5_target_recall,top5_hit_visit_windows,top5_visit_window_coverage,top5_requested_candidates,runtime_policy,runtime_repetitions,runtime_selected_candidates_per_replay,runtime_selected_exact_candidates_per_replay,runtime_overlap_hits,runtime_target_observations,runtime_overall_hit_rate,runtime_source_counts,wrong_speculations_started,wrong_speculations_started_per_replay,wasted_speculative_service_ms_per_replay,physical_call_amplification_vs_demand_only,physical_calls_started_per_replay,extra_physical_calls_per_replay,baseline_authority_wait_ms_mean_per_request,pattern_authority_wait_ms_mean_per_request,pattern_runtime_overhead_ms_mean_per_request,pattern_conservative_latency_ms_mean_per_request,conservative_latency_benefit_ms_mean_per_request,conservative_authority_wait_speedup_fraction,conservative_authority_wait_speedup_ratio,authority_wait_benefit_repeat_min_ms,authority_wait_benefit_repeat_median_ms,authority_wait_benefit_repeat_max_ms,baseline_request_critical_path_proxy_ms_mean,pattern_request_critical_path_proxy_ms_mean,request_critical_path_benefit_ms_mean,request_critical_path_speedup_fraction,request_critical_path_speedup_ratio,request_critical_path_benefit_repeat_min_ms,request_critical_path_benefit_repeat_median_ms,request_critical_path_benefit_repeat_max_ms,request_critical_path_positive_repetitions,baseline_latency_ms,pattern_conservative_latency_ms,conservative_speedup_fraction,conservative_speedup_ratio,speedup_factor_min,speedup_factor_max,timing_status,cumulative_top1_target_recall,cumulative_top3_target_recall,cumulative_top5_target_recall,cumulative_runtime_overall_hit_rate,cumulative_request_critical_path_speedup_fraction
1,1,1,parsed_task_number,trace_20260129_125406_task1_收集整理目前中国9阶层实际收入和财务状况_特别研究得出中国的.jsonl,6,1,1,0,0.0,0,0.0,6,0,0.0,0,0.0,18,0,0.0,0,0.0,30,utility_global_risk_limited,8,3.0,0.0,0,8,0.0,"{""executed"":8}",24,3.0,16.014989247196354,4.0,4.0,3.0,5.27395087556215,5.259488993033301,2.5570866249999997,7.816575618033301,-2.5426247424711512,-0.48211005420108943,0.6747137280159913,-2.606590473710358,-2.545511025813818,-2.4248105171816943,24.49904950481141,34.12080650428901,-9.621756999477597,-0.39274001212120346,0.7180090981065135,-9.874430460113885,-9.63946798998289,-9.327371521577092,0,24.49904950481141,34.12080650428901,-0.39274001212120346,0.7180090981065135,0.7115176587727696,0.7263209689510792,measured_isolated_trace_drained_wall_proxy,0.0,0.0,0.0,0.0,-0.39274001212120346
2,2,2,parsed_task_number,trace_20260129_125523_task2_收集整理目前国际综合实力前十的保险公司的相关资料_横向比较各.jsonl,3,2,2,1,0.5,1,0.5,3,2,1.0,2,1.0,9,2,1.0,2,1.0,15,utility_global_risk_limited,8,1.0,1.0,8,16,0.5,"{""executed"":8,""promoted_inflight"":8}",0,0.0,0.0,1.0,2.0,0.0,10.55076472403016,7.481685373932123,1.260563875,8.742249248932122,1.8085154750980372,0.17141084294856915,1.2068707289853295,1.7106957326708139,1.7925052270676645,1.9069137254184187,20.30484375427477,18.67240499475917,1.6324387595156011,0.08039651913952425,1.087425200983686,1.4766157962363948,1.6282377598323663,1.7770497485977401,8,20.30484375427477,18.67240499475917,0.08039651913952425,1.087425200983686,1.077952327234042,1.0953184310585005,measured_isolated_trace_drained_wall_proxy,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.17831750008336097
3,3,3,parsed_task_number,trace_20260129_125632_task3_中国金融未来的发展趋势_未来哪一个细分领域_例如投行_pe_.jsonl,3,0,0,,,,,3,,,,,9,,,,,15,utility_global_risk_limited,8,0.0,0.0,,,,,0,0.0,0.0,,0.0,0.0,,,1.235387375,,,,,,,,9.596197502105497,10.87528113046607,-1.2790836283605724,-0.13329067352771026,0.8823861550781119,-1.3201762215252213,-1.2804622695333503,-1.2511182451638572,0,9.596197502105497,10.87528113046607,-0.13329067352771026,0.8823861550781119,0.8794273974592961,0.8845731491880797,measured_isolated_trace_drained_wall_proxy_no_authoritative_visit,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.17037475009020625
4,4,4,parsed_task_number,trace_20260129_125841_task4_分析_2010_年至今的黄金走势_用思维导图告诉我黄金未来有.jsonl,6,2,2,1,0.5,1,0.5,6,2,1.0,2,1.0,18,2,1.0,2,1.0,30,utility_global_risk_limited,8,0.0,0.0,0,16,0.0,"{""executed"":16}",0,0.0,0.0,1.0,2.0,0.0,10.520863994315732,10.54723347624531,2.47122625,13.018459726245311,-2.4975957319295787,-0.23739454604479185,0.8081496748118053,-2.619323502937138,-2.4860059624588486,-2.4250834689236282,29.729491878242698,32.33231937752929,-2.6028274992865903,-0.08755035269174748,0.9194976559245689,-2.734997575826796,-2.6076565014234205,-2.443346461005362,0,29.729491878242698,32.33231937752929,-0.08755035269174748,0.9194976559245689,0.9156868806506059,0.9243589135535748,measured_isolated_trace_drained_wall_proxy,0.4,0.8,0.8,0.2,-0.14110648115880126
5,5,5,parsed_task_number,trace_20260129_125922_task5_调研国内金融机构之间的投资借贷关系与系统性风险的联系_对不同.jsonl,3,2,6,1,0.16666666666666666,1,0.5,3,1,0.16666666666666666,1,0.5,9,2,0.3333333333333333,1,0.5,15,utility_global_risk_limited,8,2.0,1.0,8,48,0.16666666666666666,"{""executed"":40,""promoted_inflight"":8}",8,1.0,5.467764116474427,1.1666666666666667,7.0,1.0,53.63171696808422,45.65300872491207,1.3206179999999998,46.97362672491207,6.658090243172147,0.12414464088730033,1.1417410301777078,4.910641828096748,6.97391770091115,7.2740558239910005,31.225880375131965,30.333790493641906,0.8920898814900582,0.028568926504967694,1.0294091133014531,-0.19243719205439191,0.9996827409119149,1.3106917155888667,7,31.225880375131965,30.333790493641906,0.028568926504967694,1.0294091133014531,0.9938549801174129,1.0436614526974985,measured_isolated_trace_drained_wall_proxy,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.18181818181818182,-0.0951765889469207
6,6,6,parsed_task_number,trace_20260129_130834_task6_请帮我整理下目前全球具身智能发展的技术路线_以及各个路线的代.jsonl,5,2,4,0,0.0,0,0.0,5,1,0.25,1,0.5,15,2,0.5,2,1.0,25,utility_global_risk_limited,8,3.0,0.0,0,32,0.0,"{""executed"":32}",24,3.0,16.087970871012658,1.75,7.0,3.0,26.639414638339076,26.774345780722797,2.143261,28.917606780722796,-2.2781921423837197,-0.08551960218769136,0.9212178186231366,-2.6451927274266778,-2.2845487748279867,-2.0188587914233502,32.051633883384056,39.15160550829321,-7.099971624909152,-0.22151668307274222,0.818654394047641,-7.46358674811497,-7.082416761902344,-6.897502693816271,0,32.051633883384056,39.15160550829321,-0.22151668307274222,0.818654394047641,0.810608318072853,0.8233386303923705,measured_isolated_trace_drained_wall_proxy,0.2,0.4,0.5333333333333333,0.13333333333333333,-0.12264749453375628
7,7,7,parsed_task_number,trace_20260129_130942_task7_在当前中国房地产市场低迷的情况下_政府税收减少_这会多大程度.jsonl,6,2,2,1,0.5,1,0.5,6,2,1.0,2,1.0,18,2,1.0,2,1.0,30,utility_global_risk_limited,8,1.0,1.0,8,16,0.5,"{""executed"":8,""promoted_inflight"":8}",0,0.0,0.0,1.0,2.0,0.0,10.514251771382987,7.444350245350506,2.4849933749999997,9.929343620350506,0.5849081510324812,0.05563003090951716,1.0589070308568729,0.5353225505511165,0.5930165850455018,0.6246864832168821,29.774269125482533,29.385080499706174,0.3891886257763595,0.013071307447922188,1.0132444294573313,0.20209952657684838,0.38277048901297306,0.49713850188642894,8,29.774269125482533,29.385080499706174,0.013071307447922188,1.0132444294573313,1.0068416982087542,1.0169182010020699,measured_isolated_trace_drained_wall_proxy,0.23529411764705882,0.47058823529411764,0.5882352941176471,0.17647058823529413,-0.09984076137505522
8,8,8,parsed_task_number,trace_20260129_131103_task8_能否给我提供一份详尽的报告_分析机器学习或者深度学习在优化材.jsonl,4,1,1,0,0.0,0,0.0,3,0,0.0,0,0.0,9,1,1.0,1,1.0,15,utility_global_risk_limited,8,0.0,0.0,0,8,0.0,"{""executed"":8}",0,0.0,0.0,1.0,1.0,0.0,5.259871111775283,5.25245212338632,1.6471948749999998,6.89964699838632,-1.6397758866110372,-0.3117521041418806,0.7623391621347374,-1.6844820161642728,-1.6504505110092609,-1.5917080471820233,18.10731025034329,19.802485869489665,-1.6951756191463758,-0.09361830088012313,0.9143958172565502,-1.7817620176845779,-1.719831511194407,-1.5662510053278496,0,18.10731025034329,19.802485869489665,-0.09361830088012313,0.9143958172565502,0.91017507889226,0.9207883819631885,measured_isolated_trace_drained_wall_proxy,0.2222222222222222,0.4444444444444444,0.6111111111111112,0.16666666666666666,-0.09926381024377565
9,9,9,parsed_task_number,trace_20260129_131409_task9_在计算化学这个领域_我们通常使用Gaussian软件模拟各种.jsonl,4,4,4,0,0.0,0,0.0,4,2,0.5,2,0.5,12,2,0.5,2,0.5,20,utility_global_risk_limited,8,0.0,0.0,0,32,0.0,"{""executed"":32}",0,0.0,0.0,1.0,4.0,0.0,21.091506256198045,21.029232259024866,1.6539902499999999,22.683222509024866,-1.5917162528268207,-0.07546716832322356,0.9298284777573587,-1.754840934230238,-1.5588419562596976,-1.4741610820433497,34.16660139191663,35.80079099663073,-1.634189604714102,-0.047830031028509905,0.9543532542376536,-1.8378459720896174,-1.6018719983310987,-1.4492729900428643,0,34.16660139191663,35.80079099663073,-0.047830031028509905,0.9543532542376536,0.9489250355518375,0.9595071716280098,measured_isolated_trace_drained_wall_proxy,0.18181818181818182,0.45454545454545453,0.5909090909090909,0.13636363636363635,-0.09160516124513209
10,10,10,parsed_task_number,trace_20260129_152333_task10_在800V高压_碳化硅电驱_固态电池_分布式驱动等技术迭代加.jsonl,4,2,2,1,0.5,1,0.5,3,1,0.5,1,0.5,9,1,0.5,1,0.5,15,utility_global_risk_limited,8,0.0,0.0,0,16,0.0,"{""executed"":16}",0,0.0,0.0,1.0,2.0,0.0,10.526243364438415,10.517403025005478,1.6476956249999999,12.16509865000548,-1.6388552855670646,-0.1556923233509621,0.8652822033986279,-1.6795029917556643,-1.6384545398692039,-1.5859370207843482,23.45536564826034,25.09887325902475,-1.6435076107644093,-0.07006957961818458,0.9345186696708205,-1.737829960233121,-1.6363859689352651,-1.5797339950712015,0,23.45536564826034,25.09887325902475,-0.07006957961818458,0.9345186696708205,0.9308852206370716,0.9369191544389049,measured_isolated_trace_drained_wall_proxy,0.20833333333333334,0.4583333333333333,0.5833333333333334,0.125,-0.08960791456982718
